Index,Time,((Motor_DM_6220[0]).PID_Omega).Target,((Motor_DM_6220[0]).PID_Omega).Measure
0,0.000000,0,0
1,0.001157,0,0
2,0.001863,0,0
3,0.002861,0,0
4,0.003865,0,0
5,0.004863,0,0
6,0.005856,0,0
7,0.006862,0,0
8,0.007855,0,0
9,0.008860,0,0
10,0.009854,0,0
11,0.010867,0,0
12,0.011861,0,0
13,0.012867,0,0
14,0.013855,0,0
15,0.014868,0,0
16,0.015866,0,0
17,0.016859,0,0
18,0.017865,0,0
19,0.018858,0,0
20,0.019864,0,0
21,0.020857,0,0
22,0.021863,0,0
23,0.022856,0,0
24,0.023864,0,0
25,0.024858,0,0
26,0.025863,0,0
27,0.026861,0,0
28,0.027855,0,0
29,0.028860,0,0
30,0.029853,0,0
31,0.030867,0,0
32,0.031860,0,0
33,0.032867,0,0
34,0.033857,0,0
35,0.034863,0,0
36,0.035858,0,0
37,0.036864,0,0
38,0.037863,0,0
39,0.038857,0,0
40,0.039863,0,0
41,0.040858,0,0
42,0.041864,0,0
43,0.042858,0,0
44,0.043868,0,0
45,0.044855,0,8.19560432
46,0.045861,0,8.13650894
47,0.046867,0,8.02906036
48,0.047867,0,7.28229523
49,0.048861,0,6.11648369
50,0.049867,0,4.68205166
51,0.050854,0,3.11330986
52,0.051869,0,1.51233292
53,0.052855,0,-0.045665741
54,0.053864,0,-1.48546982
55,0.054858,0,-2.74261284
56,0.055865,0,-3.72039032
57,0.056884,0,-4.40805817
58,0.057864,0,-4.76800966
59,0.058863,0,-4.77338171
60,0.059883,0,-4.41880322
61,0.060863,0,-3.77411461
62,0.061862,0,-2.88766766
63,0.062854,0,-1.84004879
64,0.063869,0,-0.695726395
65,0.064854,0,0.443223953
66,0.065868,0,1.50158787
67,0.066853,0,2.43101406
68,0.067864,0,3.18315029
69,0.068862,0,3.73113632
70,0.069856,0,4.00512886
71,0.070861,0,3.98901176
72,0.071854,0,3.72576332
73,0.072868,0,3.23150253
74,0.073856,0,2.55457878
75,0.074862,0,1.74334621
76,0.075855,0,0.846154213
77,0.076861,0,-0.0671548843
78,0.077919,0,-1.66275978
79,0.078861,0,-1.66275978
80,0.079867,0,-2.24297905
81,0.080860,0,-2.64590931
82,0.081866,0,-2.87155056
83,0.082859,0,-2.87692261
84,0.083868,0,-2.66202641
85,0.084861,0,-2.25909615
86,0.085867,0,-1.71111107
87,0.086860,0,-1.05030537
88,0.087866,0,-0.341147423
89,0.088866,0,0.378755569
90,0.089864,0,1.04493332
91,0.090857,0,1.60903549
92,0.091863,0,2.0442009
93,0.092857,0,2.33431053
94,0.093866,0,2.45787621
95,0.094859,0,2.39877987
96,0.095864,0,2.17313862
97,0.096857,0,1.8078146
98,0.097864,0,1.32967091
99,0.098858,0,0.781685829
100,0.099866,0,0.206838608
101,0.100865,0,-0.36263752
102,0.101860,0,-0.873015404
103,0.102866,0,-1.29743576
104,0.103855,0,-1.59829044
105,0.104862,0,-1.78095245
106,0.105856,0,-1.82393169
107,0.106863,0,-1.72722816
108,0.107857,0,-1.49621487
109,0.108864,0,-1.15775299
110,0.109965,0,-0.276679039
111,0.110859,0,-0.276679039
112,0.111866,0,0.190721512
113,0.112860,0,0.631258011
114,0.113869,0,0.996582031
115,0.114856,0,1.27594662
116,0.115863,0,1.46398067
117,0.116857,0,1.54993916
118,0.117864,0,1.51233292
119,0.118863,0,1.35653305
120,0.119858,0,1.10402966
121,0.120866,0,0.770940781
122,0.121866,0,0.384127617
123,0.122860,0,-0.0188035965
124,0.123870,0,-0.394871712
125,0.124856,0,-0.717216492
126,0.125863,0,-0.969718933
127,0.126857,0,-1.13626385
128,0.127863,0,-1.21147728
129,0.128855,0,-1.18998814
130,0.129868,0,-1.07179451
131,0.130863,0,-0.862271309
132,0.131861,0,-0.58827877
133,0.132854,0,-0.271306038
134,0.133871,0,0.0564107895
135,0.134856,0,0.368010521
136,0.135862,0,0.631258011
137,0.136855,0,0.830037117
138,0.137860,0,0.975091934
139,0.138854,0,1.04493332
140,0.139868,0,1.02344418
141,0.140861,0,0.921367645
142,0.141865,0,0.744078636
143,0.142863,0,0.513065338
144,0.143859,0,0.2390728
145,0.144865,0,-0.045665741
146,0.145858,0,-0.314285278
147,0.146864,0,-0.54529953
148,0.147857,0,-0.717216492
149,0.148863,0,-0.819292068
150,0.149856,0,-0.85152626
151,0.150862,0,-0.819292068
152,0.151855,0,-0.717216492
153,0.152867,0,-0.561416626
154,0.153868,0,-0.368009567
155,0.154854,0,-0.142368317
156,0.155868,0,0.0886449814
157,0.156853,0,0.303541183
158,0.157867,0,0.480831146
159,0.158860,0,0.615140915
160,0.159865,0,0.701099396
161,0.160859,0,0.722589493
162,0.161864,0,0.6849823
163,0.162862,0,0.58827877
164,0.163865,0,0.437851906
165,0.164864,0,0.244444847
166,0.165997,0,-0.17997551
167,0.166861,0,-0.17997551
168,0.167911,0,-0.496947289
169,0.169019,0,-0.582905769
170,0.169915,0,-0.620512962
171,0.170988,0,-0.593650818
172,0.171853,0,-0.593650818
173,0.172866,0,-0.523809433
174,0.173854,0,-0.40561676
175,0.174868,0,-0.260561943
176,0.175855,0,-0.0886449814
177,0.176861,0,0.083272934
178,0.177855,0,0.244444847
179,0.178862,0,0.373382568
180,0.179857,0,0.470086098
181,0.180863,0,0.523810387
182,0.181857,0,0.529182434
183,0.182864,0,0.480831146
184,0.183864,0,0.400244713
185,0.184863,0,0.276679993
186,0.185857,0,0.126252174
187,0.186864,0,-0.0349206924
188,0.187859,0,-0.185347557
189,0.188865,0,-0.303541183
190,0.189859,0,-0.384126663
191,0.190866,0,-0.432478905
192,0.191860,0,-0.437850952
193,0.192866,0,-0.394871712
194,0.193854,0,-0.325030327
195,0.194863,0,-0.22295475
196,0.195862,0,-0.104762077
197,0.196855,0,0.0241765976
198,0.197860,0,0.14236927
199,0.198853,0,0.244444847
200,0.199867,0,0.314286232
201,0.200860,0,0.357265472
202,0.201866,0,0.362638474
203,0.202859,0,0.335776329
204,0.203868,0,0.271306992
205,0.204886,0,0.190721512
206,0.205859,0,0.0886449814
207,0.206865,0,-0.0188035965
208,0.207858,0,-0.126251221
209,0.208864,0,-0.217582703
210,0.209857,0,-0.276679039
211,0.210863,0,-0.308913231
212,0.211857,0,-0.303541183
213,0.212862,0,-0.271306038
214,0.213859,0,-0.212209702
215,0.214864,0,-0.136996269
216,0.215866,0,-0.0510377884
217,0.216864,0,0.045665741
218,0.217857,0,0.126252174
219,0.218863,0,0.196093559
220,0.219857,0,0.244444847
221,0.220862,0,0.265934944
222,0.221867,0,0.255189896
223,0.222864,0,0.222955704
224,0.223861,0,0.169231415
225,0.224866,0,0.104763031
226,0.225883,0,0.029548645
227,0.226860,0,-0.045665741
228,0.227866,0,-0.120879173
229,0.228860,0,-0.174603462
230,0.229867,0,-0.206837654
231,0.230853,0,-0.22295475
232,0.231868,0,-0.212209702
233,0.232854,0,-0.190720558
234,0.233863,0,-0.142368317
235,0.234858,0,-0.0778999329
236,0.235865,0,-0.00805854797
237,0.236863,0,0.0617828369
238,0.237862,0,0.115507126
239,0.238856,0,0.158486366
240,0.239863,0,0.179976463
241,0.240857,0,0.185348511
242,0.241863,0,0.174603462
243,0.242858,0,0.147741318
244,0.243868,0,0.104763031
245,0.244854,0,0.0510387421
246,0.245860,0,-0.00805854797
247,0.246854,0,-0.0617828369
248,0.247863,0,-0.110134125
249,0.248862,0,-0.147741318
250,0.249857,0,-0.163858414
251,0.250863,0,-0.163858414
252,0.251858,0,-0.147741318
253,0.252864,0,-0.110134125
254,0.253854,0,-0.0617828369
255,0.254868,0,-0.00805854797
256,0.255854,0,0.0402936935
257,0.256861,0,0.0886449814
258,0.257867,0,0.120880127
259,0.258866,0,0.14236927
260,0.259859,0,0.147741318
261,0.260863,0,0.136997223
262,0.261857,0,0.115507126
263,0.262862,0,0.0779008865
264,0.263859,0,0.0349216461
265,0.264864,0,-0.0134305954
266,0.265857,0,-0.0617828369
267,0.266863,0,-0.0993890762
268,0.267896,0,-0.120879173
269,0.268861,0,-0.131624222
270,0.269866,0,-0.126251221
271,0.270860,0,-0.104762077
272,0.271865,0,-0.0778999329
273,0.272859,0,-0.0349206924
274,0.273867,0,0.0134315491
